City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,sinabang,2.4803,96.3801,26.59,82,100,0.56,ID,1737603629
233,kerikeri,-35.2268,173.9474,25.09,42,17,3.37,NZ,1737603630
234,bintulu,3.1667,113.0333,28.23,83,20,1.54,MY,1737603633
235,mendi,-6.1761,143.6513,19.49,84,97,1.75,PG,1737603634
236,gongzhuling,43.5008,124.8198,-5.43,49,1,1.64,CN,1737603635
237,kenai,60.5544,-151.2583,3.05,79,75,7.72,US,1737603636
238,peace river,56.2501,-117.286,-0.83,64,100,5.14,CA,1737603637
239,rudne,49.8333,23.9,0.31,94,100,1.93,UA,1737603639
240,galle,6.0367,80.217,26.63,88,100,4.39,LK,1737603640
241,nuuk,64.1835,-51.7216,-7.66,93,100,4.12,GL,1737603641
242,nova sintra,14.8667,-24.7167,22.27,70,99,10.53,CV,1737603642
243,nadym,65.5333,72.5167,-25.12,97,95,7.2,RU,1737603643
244,sitka,57.0531,-135.33,6.94,76,100,3.6,US,1737603644
245,ixmiquilpan,20.4833,-99.2333,11.46,67,0,1.28,MX,1737603301
246,tacuarembo,-31.7333,-55.9833,21.76,57,91,0.91,UY,1737603647
247,portland,45.5234,-122.6762,6.24,66,20,5.36,US,1737603433
248,uturoa,-16.7333,-151.4333,27.81,77,14,7.2,PF,1737603649
249,linfen,36.0889,111.5189,7.31,39,98,1.58,CN,1737603650
250,ta`u,-14.2336,-169.5144,28.17,79,25,7.05,AS,1737603651
251,neyriz,29.1988,54.3278,2.48,36,93,1.93,IR,1737603652
252,kudymkar,59.0173,54.656,-15.2,84,100,4.76,RU,1737603654
253,ubinskoye,55.3068,79.6802,-22.56,92,100,6.09,RU,1737603655
254,daru,-9.0763,143.2092,29.38,75,100,1.9,PG,1737603656
255,prince rupert,54.3161,-130.3201,5.83,93,100,11.32,CA,1737603657
256,trujillo,-8.116,-79.03,17.98,94,100,3.6,PE,1737603608
257,hassi messaoud,31.6804,6.0729,6.92,42,0,0.51,DZ,1737603659
258,skeldon,5.8833,-57.1333,23.37,93,94,2.5,GY,1737603660
259,hithadhoo,-0.6,73.0833,26.77,79,85,7.01,MV,1737603662
260,chichiriviche,10.9333,-68.2772,25.59,84,9,5.94,VE,1737603643
261,boguchany,58.3814,97.4531,-11.73,77,85,7.52,RU,1737603664
262,brookings,44.3114,-96.7984,-14.0,81,0,8.75,US,1737603665
263,talnakh,69.4865,88.3972,-38.98,95,42,2.32,RU,1737603666
264,kruisfontein,-34.0033,24.7314,21.55,83,100,1.6,ZA,1737603667
265,qaqortoq,60.7167,-46.0333,-15.32,93,42,2.16,GL,1737603669
266,lauro de freitas,-12.8944,-38.3272,26.01,83,20,3.6,BR,1737603670
267,constantia,44.1833,28.65,2.38,90,63,3.71,RO,1737603575
268,la ronge,55.1001,-105.2842,-15.86,78,75,2.06,CA,1737603672
269,shalqar,47.8333,59.6,-25.62,92,5,0.91,KZ,1737603673
